Created,Day,Tweet ID,Full Text,Quote Full Text,Hashtags,Not mask or face covering related,HBM Related,Perceived Benefits,Perceived Barriers,Perceived Severity,Perceived Susceptibility,HBM Related AutoFill
Tue Mar 03 20:25:01 +0000 2020,63,1234937845657341953,Everyone is looking at me and my fiancé as if we are crazy for wearing mask already . We work at #Amazonwarehouse #coronavirus in y#SouthCarolina . Anyone else having this even though there has been no outbreaks here ? 😷. #Covid_19 #mask  @COVID19Update,,,0,1,0,1,0,0,1
Mon Mar 23 16:36:07 +0000 2020,83,1242128000994308097,"@thylacinedreamz Maintain social distancing of at least 6ft from people in stores at all times. Many stores provide sanitizer for cart handles and things, but still don’t touch your face until you get home and wash your hands thoroughly! If you wanna wear a mask to make this easier, go for it!",,,0,1,1,0,0,0,1
Thu Mar 05 03:12:19 +0000 2020,65,1235402736327200768,"Being caviler or an ass ISN'T FUNNY! @RepMattGaetz. wears gas mask on House floor during vote on coronavirus response package
 

 https://t.co/D39HicLgLb",,,0,0,0,0,0,0,0
Thu Mar 05 03:14:32 +0000 2020,65,1235403295503466496,Senator slams Amazon over coronavirus price gouging on hand sanitizer and face masks https://t.co/uA0WhGp8nX https://t.co/UWsml93vk4,,,0,1,0,1,0,0,1
Mon Mar 23 11:02:42 +0000 2020,83,1242044093900836866,"@PDChina Chinese masks for Chinese virus!
 It will definitely work😕",,,0,0,0,0,0,0,0
Wed Mar 04 20:11:10 +0000 2020,64,1235296748505124866,"Advice from Nurse Denise to protect yourself from #COVID-19: 1)Wash your hands a lot! 2) Avoid touching your face, nose &amp; mouth, 3) Don't hoard masks: healthcare workers &amp; sick people need them, 4) Check @CDCgov for updates, 5) Watch clever PSA's @NPR https://t.co/etN1MSzmjY",,,0,1,0,1,0,0,1
Mon Mar 23 10:37:19 +0000 2020,83,1242037706126811136,@BTSprojectINDIA we all are aware with the current scenario of covid-19 in India. And recently the medical staffs are facing shortage of masks and other necessities to protect themselves. Can we do a donation project for the safety of those peoole.,,,0,1,1,1,0,0,1
Thu Mar 05 03:37:58 +0000 2020,65,1235409191545663489,".@BarackObama on #coronavirus : skip the masks, stay calm
 #CoronaAlert 
 https://t.co/W43IUKK8gt",,,0,1,0,1,0,0,1
Tue Mar 03 21:30:58 +0000 2020,63,1234954444355317760,Instead of wristbands you should get a face mask with the brand or party to go into a sxsw party #SxSW thoughts #SXSW2020 #SXSWEDU #Austin #CoronaOutbreak #coronavirus #Coronavirustexas,,,0,1,1,0,0,0,1
Mon Mar 23 17:41:05 +0000 2020,83,1242144350227709957,"Q about homemade masks from @BCTodayOfficial 
 Dr Henry: Cough masks effective to prevent you from spreading #COVID19 but not from catching it. Also distilleries producing LCBO prescribed sanitizer is great!",,,0,1,1,1,0,0,1
Tue Mar 03 21:40:05 +0000 2020,63,1234956738106974213,Will be wearing my N95 mask when I go back to work.,,,0,1,1,0,0,0,1
Mon Mar 23 09:31:42 +0000 2020,83,1242021193017954305,@CNN Unbelievable! As the mother of a #HealthCareWorkers while I am #mandated to #StayHome I’m making #safe comparable #M95 #facemasks for him to use when our #local #Hospitals run out. #TogetherAtHome #TogetherWeRise #COVIDー19,,,0,1,1,0,0,0,1
Wed Mar 04 20:45:19 +0000 2020,64,1235305345687449601,Desperate GPs turn to Bunnings for masks as stockpile fails to deliver https://t.co/STdVTfKSIc via @ABCNews,,,0,1,0,1,0,1,1
Tue Mar 03 20:50:45 +0000 2020,63,1234944322375684096,"Outside the obvious face masks and hand sanitizer, these are the items flying off grocery store shelves. https://t.co/jGrQrSAFdk via @Eater",,,0,0,0,0,0,0,0
Tue Mar 03 19:37:03 +0000 2020,63,1234925776568569856,Buying reusable masks is generally a waste of time and hurts healthcare workers (hello) who need to use them in everyday care during the flu season. Is the corona virus scary? The weirdo incubation time and severity/rapid spread is honestly wild 4/?,,,0,1,0,1,0,1,1
Mon Mar 23 18:48:57 +0000 2020,83,1242161428724883462,"One down. 
 

 #faceshield #COVIDー19 #COVID19Ontario #HealthcareHeroes #FrontLineHeroes https://t.co/uofddxaYA5",,,0,0,0,0,0,0,0
Tue Mar 03 20:19:31 +0000 2020,63,1234936462002442240,"We are all in this together. A Chinese poem from 1000 years ago was printed on the boxes of masks Japan donated to China few wks ago 青山一道同云雨，明月何曾是两乡.”Though separated by mountains, we share the same clouds and rain; the bright moon belongs not to a single town”. https://t.co/qv13NLHtNf",,,0,0,0,0,0,0,0
Mon Mar 23 04:39:21 +0000 2020,83,1241947620853112832,"@JackTLogan @nzieber @Hallofr808 @naval Look at Hong Kong and Taiwan. Basically right next to China but #covid19 cases are low. Most people wear surgical masks, not N95.",,,0,1,1,0,0,0,1
Mon Mar 23 03:10:58 +0000 2020,83,1241925378622607360,"@UNC_Health_Care @DukeHealth @WakeMed seek donations of masks, sanitizer as COVID-19 cases rise in North Carolina https://t.co/FmCMQZeFFh via @ABC11_WTVD",,,0,1,1,0,0,1,1
Tue Mar 03 21:50:46 +0000 2020,63,1234959426416791552,"If y’all think washing your hands 2-3 times a day or some corny mask they wear for fun in Korea is gonna save you from #coronavirus, I got some beachfront property in New Mexico to sell you",,,0,1,0,1,0,0,1
Wed Mar 04 23:45:46 +0000 2020,64,1235350757655932928,I’m sure he was getting high through the mask... https://t.co/y49uTdLE4w,,,0,0,0,0,0,0,0
Mon Mar 23 13:13:51 +0000 2020,83,1242077098849767424,"Vladislav V. Drozdek, 42, was arrested after thousands of N95 respirator masks were stolen in Portland, Ore. earlier this month. https://t.co/QirL6B9vt5 #FoxNews",,,0,0,0,0,0,0,0
Tue Mar 03 20:40:41 +0000 2020,63,1234941790819622912,People really be out here smoking cigarettes while wearing a mask to “protect” themselves from the #coronavirus.... yeah worry about a flu like virus but don’t worry about lung and every other type of cancer you are causing smoking cigs. Lol at humans,,,0,0,0,0,0,0,0
Tue Mar 03 21:57:56 +0000 2020,63,1234961232379228160,When the world runs out of face masks I have a solution. One bra two people. #CoronaVirusSeattle #CoronaOutbreak #Covid_19 #coronavirus #CoronaAlert https://t.co/WQkDSSUPZR,,,0,0,0,0,0,0,0
Thu Mar 05 06:45:06 +0000 2020,65,1235456282594807809,"202 #CoronavirusOutbreak #Coronavirususa #2019nCoV #COVID2019 #CoronaVirusUpdates #who
 No more panic buying against #coronavirus!
 We have #N95 / 3ly Medical Disposable #Facemask In Stock(US) Now, Free shipping! https://t.co/2AsNUENgzP",,,0,1,1,0,0,0,1
Thu Mar 05 03:35:13 +0000 2020,65,1235408500160937984,#Coronavirus state and central government should take steps to control price and availability of masks and 🖐 hand sanitizers. In people interest.,,,0,1,0,1,0,0,1
Tue Mar 03 20:18:41 +0000 2020,63,1234936254678151169,Coronavirus: Sharp to use TELEVISION manufacturing facility to make medical masks The… https://t.co/fWHy6TsMu8,,,0,0,0,0,0,0,0
Thu Mar 05 01:19:37 +0000 2020,65,1235374375135858689,@McFaul This is a stupid man with a mask making fun of worried people that fear the Coronavirus and he is disrespecting the souls(lives) that it has taken,,,0,0,0,0,0,0,0
Wed Mar 04 21:35:56 +0000 2020,64,1235318080512888833,#COVIDー19 advice! Don't use the wrong mask! https://t.co/383ZOR8skd,,,0,1,0,1,0,0,1
Mon Mar 23 09:54:51 +0000 2020,83,1242027018868359177,Studies on disinfecting masks with UV light for repeat use @HealthZA @jozi117 https://t.co/OG2nFiaTLu,,,0,1,1,0,0,0,1
Wed Mar 04 20:20:09 +0000 2020,64,1235299009771851779,"@domjoly Worldwide deaths P/A of ‘standard flu’ are up to 690,000. Deaths (reported) of Corono virus in China are circa 3.5k.....Deffo need to get a grip. No masks left in our builders merchants as the tit-head civilians are snapping them up.",,,0,1,0,1,0,1,1
Thu Mar 05 01:14:50 +0000 2020,65,1235373171986976768,"I just saw someone with a designer n95 mask in the Atlanta airport. Don’t get me wrong, it looked cool af but pretty sure we’ve reached peak mass hysteria.",,,0,0,0,0,0,0,0
Mon Mar 23 21:05:22 +0000 2020,83,1242195759782453248,"Say it louder for the people in the back 📢 this is nationwide, my hospital just got the okay Friday to wear to personal masks, only because we don’t have masks as it is... #COVID https://t.co/A6KuyrMKXY",,,0,1,0,1,0,1,1
Thu Mar 05 04:23:14 +0000 2020,65,1235420580347703297,"I'm in a hot South East Asian country right now that still has a very low COVID-19 count and 1 death. It was 30C (feels like 36C) when I went out, I'm in my 70s, a little overweight so sweat a lot. The cashier in 1st shop I went into handed me a mask. They're paying attention.",,,0,1,1,0,0,0,1
Mon Mar 23 06:08:33 +0000 2020,83,1241970068503871494,"@Faiza__Ali The #COVID19 Pandemic has many social and political lessons. China has contained the spread of the virus &amp; started shipping ventilators, masks &amp; test kits to other countries. Cuba is sending doctors to Italy. This shows Socialism is the real deal.",,,0,0,0,0,0,0,0
Tue Mar 03 21:35:43 +0000 2020,63,1234955640461832192,"So now may I wear masks while I am walking on the way to school? Maybe there are cultural differences about masks between western and eastern society, but I just want to protect myself at this moment. It’s my own freedom and right. Wearing mask is no excuse for racism. https://t.co/5gQq4vhvXA",,,0,1,1,1,0,0,1
Mon Mar 23 08:45:14 +0000 2020,83,1242009499155804163,😂😂😂😂😂😂 they could've kissed through a mask and intimate using a condom???? Or it doesn't work like that??? https://t.co/Oaah86l0Im,,,0,0,0,0,0,0,0
Thu Mar 05 00:28:42 +0000 2020,65,1235361558101811200,"@GongGasGirl @AndyDW_ @NSWHealth It says &gt;N95 , does the hospital stick N99 or N100 masks",,,0,0,0,0,0,0,0
Mon Mar 23 16:13:24 +0000 2020,83,1242122284132950019,"Austria, #Hungary get Chinese #masks, gear to fight virus https://t.co/uB8ASVZq6U",,,0,1,1,0,0,0,1
Wed Mar 04 20:01:20 +0000 2020,64,1235294274843004929,Why my new corona mask smell like Pad Thai tho? https://t.co/gCOFEMNtbP,,,0,0,0,0,0,0,0
Wed Mar 04 20:20:02 +0000 2020,64,1235298979245588480,Coronavirus updates live: U.S. death toll rises to 11 as global mask shortage worsens https://t.co/PwmTWxLWmz,,,0,1,0,1,1,0,1
Tue Mar 03 19:35:31 +0000 2020,63,1234925389572722690,"@witchyqueer Thank you ❤️ I'm coping, just about. Josie has talked me out of buying an N95 mask approximately 5 times.",,,0,1,1,0,0,0,1
Wed Mar 04 19:21:08 +0000 2020,64,1235284157019938817,The only people that should wear masks are patients who are confirmed ill with Coronavirus and caregivers to those patients. Do not need billions of N95 masks. When will HHS learn their medicine? Never it seems.,,,0,1,0,1,0,0,1
Thu Mar 05 01:19:39 +0000 2020,65,1235374384153604096,Matt Gaetz mocks essential coronavirus funding by strapping on a gas mask https://t.co/EvkpJ2Q29p,,,0,0,0,0,0,0,0
Mon Mar 23 05:22:48 +0000 2020,83,1241958555156013056,"@ScottCarson1945 Interesting, looking it up now. We have about 6 N95 masks and 30 or so Curad surgical masks that allude to being a barrier against outside contaminants.",,,0,1,1,0,0,0,1
Tue Mar 03 21:42:50 +0000 2020,63,1234957430737559554,"@Starbucks you need to protect your employees from the corona virus, today at a drivethru I watched someone sneeze hard on the hands of a employee while handing coffee, yesterday it was at a cashier, give them mask &amp; gloves please for all sake",,,0,1,1,0,0,1,1
Wed Mar 04 22:35:44 +0000 2020,64,1235333133232373761,"@TheBotLucas @subgap N95 masks protect like 95% I think, the little blue ones are for others safety.",,,0,1,1,0,0,0,1
Wed Mar 04 20:00:00 +0000 2020,64,1235293937608388610,@cnnphilippines Hope he brings his N95 mask and his hazmat gear. I'm not buying that a country that half-asses everything they do only has three confirmed cases. #Covid_19 #COVID2019,,,0,0,0,0,0,0,0
Thu Mar 05 00:29:05 +0000 2020,65,1235361658429747200,"tRump will find a way to profit from this. tRump brand hand sanitizer and face masks that he over charges the government for? Who knows?
 The depth of his depravity is bottomless. https://t.co/eGlC0jiQRM",,,0,1,0,1,0,0,1
Mon Mar 23 13:34:46 +0000 2020,83,1242082362906853376,Shit feels like it just got real at work wearing the N95 masks..,,,0,0,0,0,0,0,0
Thu Mar 05 03:37:43 +0000 2020,65,1235409126370533379,"Just 1 case of Corona Virus in India and people are crazy for masks!!
 Daily 400 people die in road crashes &amp; still no craze for Helmets🤔
 

 #safetysaves 
 be it virus or road crashes!",,,0,1,1,0,0,0,1
Mon Mar 23 19:55:33 +0000 2020,83,1242178190048706562,@AndrewCMcCarthy Why are they throwing N95 masks away? They will sanitize themselves within 24 hours! The virus has a short shelf life on cloth.,,,0,1,0,1,0,0,1
Tue Mar 03 19:23:48 +0000 2020,63,1234922439865491456,"@washingtonpost For the love of all that is HOLY.... stop including pictures of PEOPLE in masks. The CDC, and all major medical professionals are saying no masks",,,0,1,0,1,0,0,1
Tue Mar 03 19:01:01 +0000 2020,63,1234916705983397888,"#Hackers are coming up with ways to exploit COVID-19. @Kaspersky released a report revealing how malware masked as coronavirus information is being distributed via PDF, DOCX and MP4 files. via @IBTimes https://t.co/WWj9KBb4vL https://t.co/AGimDBotOZ",,,0,0,0,0,0,0,0
Wed Mar 04 19:24:53 +0000 2020,64,1235285100566282240,Why did I see a guy driving with a mask on while smoking a cigarette..🤔 lung cancer vs coronavirus,,,0,0,0,0,0,0,0
Mon Mar 23 16:34:32 +0000 2020,83,1242127602367614977,"@JeffreeStar @JustineGiles @pulte Can you make a donation for the purchase of medical supplies instead, like N95 masks? Seems reasonable...",,,0,0,0,0,0,0,0
Mon Mar 23 13:36:56 +0000 2020,83,1242082908157796353,Decontaminate N95 masks at 70C/158F in a kitchen-type oven for 30 minutes. See the Stanford study. https://t.co/4oU9U8bjHZ,,,0,1,1,0,0,0,1
Mon Mar 23 12:53:58 +0000 2020,83,1242072093413363713,Have you got a real anti COVID-19 mask for yourself?? https://t.co/YDkqJjWkVP,,,0,0,0,0,0,0,0
Thu Mar 05 02:28:34 +0000 2020,65,1235391724148514816,Doctors need 6.9 million masks a month as GPs refuse to test for coronavirus - https://t.co/sBdfP1Dd9b desperate GP practice manager has closed its doors to coronavirus patients after r...,,,0,1,0,0,0,1,1
Tue Mar 03 19:47:28 +0000 2020,63,1234928399497359360,I work at Home Depot and we are fully sold out of hand sanitizer and respirator masks. So I wanted to make a little PSA thread about buying both of those things and just dealing with #Coronavirus in general.,,,0,1,0,1,0,0,1
Tue Mar 03 19:11:40 +0000 2020,63,1234919390237294593,"I'm building a cupboard. I need a dust mask for when I sand the wood. They now cost $160 for a 10pack because they've been bought up by panicky idiots who don't understand that they're not going to help.
 #coronavirus",,,0,1,0,1,0,0,1
Wed Mar 04 20:13:23 +0000 2020,64,1235297307932975110,Coronavirus updates live: U.S. death toll rises to 11 as global mask shortage worsens https://t.co/FTNjoMbHsF,,,0,1,0,1,1,0,1
Mon Mar 23 19:36:23 +0000 2020,83,1242173366271750148,"As evidence suggests COVID-19 could be transmitted before symptom onset, community transmission might be reduced if everyone, including people who have been infected but are asymptomatic and contagious, wear face masks.",,,0,1,1,0,0,1,1
Mon Mar 23 21:49:19 +0000 2020,83,1242206819889614858,"So true! In my hometown Zhejiang Province, there was a case a month ago that a man got infected by a lady in a grocery market in less than 30 seconds. The lady was infected, and both of them didn’t wear a face mask. https://t.co/NGEwIhVmj1",,,0,1,0,0,0,1,1
Thu Mar 05 02:02:42 +0000 2020,65,1235385214928486402,"@narendramodi @ysjagan @MoHFW_INDIA dear respective, please provide masks to all citizens to save Themselves from CARONA. Because Black market is heavily happening, yesterday I went to buy a mask in vizag 5rs mask comes to 15 rs, n95 masks which are sold to 60rs now its 200rs",,,0,1,1,1,0,0,1
Wed Mar 04 23:23:02 +0000 2020,64,1235345035304071168,Florida Rep. Matt Gaetz wears gas mask during vote to address new coronavirus - ABC News via @ABC - https://t.co/m2A0U5Gais,,,0,0,0,0,0,0,0
Wed Mar 04 20:41:11 +0000 2020,64,1235304304816332801,@BrokenBow0915 Please call 911 and tell them you suspect you have Corinavirus so they can come in protective gear. Put a mask on if you have any. I have been watching closely on how Wuhan and China have been doing since the outbreak. It develops super fast. Don't wait!!! Take care,,,0,1,1,0,0,1,1
Tue Mar 03 19:55:43 +0000 2020,63,1234930475103178752,"@PodSaveAmerica hey, I have currently have the flu... I’m going to go vote today- but I feel guilty. I’m going to don a mask (to keep my cough to myself) but, what happens when Covid 19 comes in November? That’s gonna be one hell of a voter suppressant",,,0,1,1,0,0,0,1
Tue Mar 03 21:55:29 +0000 2020,63,1234960612007923712,"@seth_abrutyn @dbtindall @NGMcLaughlin @AviGoldberg @somardrawoh Wait a sec... why was Oates' 'stache not on that CDC mask facial hair poster? That's an outrage. Should have been listed right next to ""The Zappa."" https://t.co/h1noeLXejP",,,0,0,0,0,0,0,0
Mon Mar 23 18:47:02 +0000 2020,83,1242160947134898176,These photos are submitted by David Tate. Knitted masks for COVID-19 from mother’s old sewing machine. Prizes will be announced April 17th. #cov19_photos https://t.co/AcZzR2cOB8,,,0,0,0,0,0,0,0
Tue Mar 03 20:37:02 +0000 2020,63,1234940873156235270,"We do not need sanitizers or masks.
 

 Wash hands, properly
 

 Just that would do!
 

 #Coronavirus",,,0,1,0,1,0,0,1
Wed Mar 04 19:06:32 +0000 2020,64,1235280482667040769,"@Dawn_Kopecki @BerkeleyJr @CNBC Again, bad numbers: ""...system will need up to 3.5 billion N95 respirator masks over a year."" 
 

 A YEAR'S SUPPLY DOES NOT NEED TO BE PRODUCED IN ADVANCE - ONLY REQUIRE A WEEK TO MAKE MILLIONS for #coronavirus !!! #HHS posturing for money.
 

 @berkeleyjr @CNBC @jimcramer @KellyCNBC",,,0,1,0,0,0,1,1
Wed Mar 04 20:02:54 +0000 2020,64,1235294669510238208,Some people are saying it’s mineral water covered in masking tape with Coronavirus written in marker pen or crayon but personally I don’t think it’s worth taking the risk. 2/5,,,0,0,0,0,0,0,0
Tue Mar 03 20:36:09 +0000 2020,63,1234940650958868482,@LiamKehoe96 @PaulHowkins92 What about the old face mask? You got to wear them in china?,,,0,0,0,0,0,0,0
Sat Mar 07 22:11:47 +0000 2020,67,1236414266082721801,"@drcadesky “Masks should be worn by sick patients, and by health care workers caring for sick patients. Healthy people wearing masks will do nothing to minimize the spread of coronavirus and will deprive others of this much-needed protective equipment (which is actually in short supply).”",,,0,1,1,1,0,0,1
Sat Mar 07 08:33:24 +0000 2020,67,1236208315295608832,"#Facebook and #Instagram on Saturday banned ads and commerce listings selling medical face masks on their platforms to stop people from exploiting the #coronavirus emergency.
 

 https://t.co/c5fIIGgSJ4",,,0,1,0,1,0,0,1
Fri Mar 06 16:05:47 +0000 2020,66,1235959772425474055,Face masks are only effective in stopping you spreading your germs not in stopping you catching anything. #COVIDー19 https://t.co/FTCdhhzof2,,,0,1,1,1,0,0,1
Fri Mar 06 20:56:56 +0000 2020,66,1236033043795714050,Pink’s husband Carey Hart wears mask and gloves for cross-country flight amid coronavirus outbreak https://t.co/MlFSG6OybF,,,0,1,1,0,0,0,1
Sat Mar 07 19:04:13 +0000 2020,67,1236367066103349248,@marcorubio today focuses on the scourge of daylight savings time while frat boy @RepMattGaetz thinks wearing a gas mask is funny. #Florida constituents frightened about #COVIDー19 are not amused. https://t.co/cggmEoY384,,,0,0,0,0,0,0,0
Tue Mar 03 14:59:56 +0000 2020,63,1234856038773465089,"@matthewstoller @nowthisnews 3/ And we know that a large percentage of people will not show symptoms and be contagious, + there is a lack of testing for those who are sick. The briefest examination of scientific literature shows that N95 masks are effective (not as much as a hazmat suit) in slowing contagion",,,0,1,1,0,0,1,1
Fri Mar 06 15:59:55 +0000 2020,66,1235958296516931584,#COVIDー19 #Bring proper mobile sanitizing rooms in every public corners # provide mask and counselings #Pray for the infected,,,0,1,1,0,0,0,1
Fri Mar 06 21:13:55 +0000 2020,66,1236037315174084608,"government said it is managed so that hospitals will have surgical mask stock soon(also for people). Health ministry just begin to informed people that not everyone should wear surgical mask, only for sick people. Nomal health person was suggested to wear washable mask.#COVIDー19",,,0,1,1,0,0,0,1
Fri Mar 06 21:40:03 +0000 2020,66,1236043894720204804,"EBay issued a notice to sellers telling them it’s banning all listings for N95 and N100 masks, hand sanitizer and disinfecting wipes after eBay’s marketplace was hit with price gouging. 
 https://t.co/F6CGHrWdbS",,,0,1,0,1,0,0,1
Tue Mar 03 16:18:54 +0000 2020,63,1234875908483362824,Okay so amazon is selling n95 masks with the valve for 79 dollars... sadly I just made that purchase and I’m locking my mom in a bubble until the air is clean.,,,0,0,0,0,0,0,0
Tue Mar 03 14:03:15 +0000 2020,63,1234841774646026241,Surely we should all be wearing disposable gloves when out and about if the masks are rendered pointless? #coronavirus,,,0,1,0,1,0,0,1
Fri Mar 06 13:52:48 +0000 2020,66,1235926304651960322,"In times of #coronavirus crisis when a simple 100rs mask is being sold for rs 600 and sanitizer for rs 999 without any risk involved plz do remember that not a single doctor has raised his/her fees despite risking their lives and their staff's lives.
 

 Copied! 
 #Doctor
 #COVIDー19",,,0,0,0,0,0,0,0
Sat Mar 07 09:14:33 +0000 2020,67,1236218671388708864,@officialmcafee Everyone's wearing a mask cuz they scared of coronavirus,,,0,0,0,0,0,0,0
Sat Mar 07 06:38:46 +0000 2020,67,1236179466805743616,@DanRather I swear I heard Trump say he was sure Obama had them ( along with the blame plus all of the masks &amp; hand sanitizers). This Administration is Incompetent beyond belief. Scientists give healthcare tips &amp; Trump disagrees with his own hunches. #coronavirus,,,0,0,0,0,0,0,0
Sat Mar 07 14:01:31 +0000 2020,67,1236290885945442304,I realise many of you can’t buy masks or goggles. How can I help you? Please shot some suggestions. Thanks #COVIDー19 #CombatCoronavirus,,,0,1,0,1,0,0,1
Sat Mar 07 11:28:57 +0000 2020,67,1236252494285733888,You only need a surgical mask if you're unwell or have tested positive to novel corona virus to avoid spreading the virus to other people #CoronavirusInSA,,,0,1,1,0,0,0,1
Fri Mar 06 20:08:50 +0000 2020,66,1236020938073870336,"Want to use Big Data to analyze what's going on with #COVIDー19 ? Start looking at retail sales. Local Target sells out of hand sanitizer, masks, bleach wipes daily. They just sold out of aloe vera gel, because it can be mixed with alcohol to make your own hand sanitizer.",,,0,1,0,0,0,0,0
Tue Mar 03 15:00:51 +0000 2020,63,1234856266943664130,Coming up at 7:11... fears over the corona virus have some people stocking up on masks and hand sanitizer. We'll find out how that's impacting one Greater Victoria resident.,,,0,1,0,0,0,1,1
Tue Mar 03 15:54:20 +0000 2020,63,1234869728205791232,"last winter everytime i went to school i get sick bc of poor ventilation and ppl constantly coughing sneezing but once i started wearing face mask i never got sick again 
 but if im gonna go outside with a facemask now ppl will be thinking im a walking coronavirus goddamn ppl suck",,,0,1,1,1,0,0,1
Tue Mar 03 22:58:55 +0000 2020,63,1234976575688335360,"Meanwhile in CA....While the CDC is telling the general pub to NOT buy masks, I sure am glad musical theatre families knew to already have them on hand for college audition travels! #stagemomready https://t.co/WkeWfpWRqd",,,0,1,0,1,0,0,1
Tue Mar 03 14:43:17 +0000 2020,63,1234851848965763073,"@tonyalampley @3rdHourTODAY All valid points. Anyone with a cough or sneezing by all means can wear a mask to protect others. I think the decision to avoid public places is individual and based on guidance from CDC, local health Dept/spread and your healthcare providers recs ;)",,,0,1,1,0,0,0,1
Tue Mar 03 16:30:20 +0000 2020,63,1234878789152387072,@sudhirchaudhary @WIONews #coronavirus in mask,,,0,0,0,0,0,0,0
Fri Mar 06 21:41:57 +0000 2020,66,1236044373776715776,"Hey @GavinNewsom, can you add to the state of emergency for COVID-19 to limit the public sale of masks so our health care professionals will have enough to protect themselves while they care for our most ill?",,,0,1,0,1,0,0,1
